Voltage : 14.02 V | Pitch angle : 0.00° | Yaw angle : 0.00° | Pitch_current : 0.00 A | Yaw_current : 0.00 A
Voltage : 14.00 V | Pitch angle : 0.00° | Yaw angle : 0.00° | Pitch_current : 0.00 A | Yaw_current : 1.00 A
Voltage : 12.58 V | Pitch angle : 0.00° | Yaw angle : 0.00° | Pitch_current : 2.16 A | Yaw_current : 2.79 A
Voltage : 12.15 V | Pitch angle : 0.00° | Yaw angle : -0.25° | Pitch_current : 5.64 A | Yaw_current : 5.56 A
Voltage : 10.61 V | Pitch angle : 0.00° | Yaw angle : -0.25° | Pitch_current : 9.16 A | Yaw_current : 3.27 A
Voltage : 11.04 V | Pitch angle : 0.00° | Yaw angle : -0.25° | Pitch_current : 12.47 A | Yaw_current : 3.55 A
Voltage : 11.80 V | Pitch angle : 0.50° | Yaw angle : -0.75° | Pitch_current : 11.96 A | Yaw_current : 4.10 A
Voltage : 12.08 V | Pitch angle : 2.25° | Yaw angle : -1.50° | Pitch_current : 11.35 A | Yaw_current : 4.39 A
Voltage : 12.96 V | Pitch angle : 5.75° | Yaw angle : -2.50° | Pitch_current : 9.99 A | Yaw_current : 4.38 A
Voltage : 12.58 V | Pitch angle : 11.25° | Yaw angle : -3.75° | Pitch_current : 9.92 A | Yaw_current : 4.29 A
Voltage : 11.29 V | Pitch angle : 18.50° | Yaw angle : -5.00° | Pitch_current : 9.52 A | Yaw_current : 6.85 A
Voltage : 14.15 V | Pitch angle : 27.00° | Yaw angle : -6.25° | Pitch_current : 0.59 A | Yaw_current : 7.43 A
Voltage : 12.48 V | Pitch angle : 35.75° | Yaw angle : -7.00° | Pitch_current : 0.68 A | Yaw_current : 7.50 A
Voltage : 12.23 V | Pitch angle : 43.25° | Yaw angle : -7.00° | Pitch_current : 0.68 A | Yaw_current : 7.57 A
Voltage : 12.43 V | Pitch angle : 48.50° | Yaw angle : -6.50° | Pitch_current : 0.75 A | Yaw_current : 7.55 A
Voltage : 13.26 V | Pitch angle : 51.25° | Yaw angle : -5.75° | Pitch_current : 0.88 A | Yaw_current : 6.81 A
Voltage : 13.72 V | Pitch angle : 51.50° | Yaw angle : -4.50° | Pitch_current : 0.84 A | Yaw_current : 6.37 A
Voltage : 14.00 V | Pitch angle : 50.25° | Yaw angle : -3.00° | Pitch_current : 0.75 A | Yaw_current : 6.01 A
Voltage : 14.33 V | Pitch angle : 47.75° | Yaw angle : -1.50° | Pitch_current : 1.21 A | Yaw_current : 2.79 A
Voltage : 11.80 V | Pitch angle : 44.75° | Yaw angle : -0.25° | Pitch_current : 13.25 A | Yaw_current : 2.91 A
Voltage : 12.35 V | Pitch angle : 42.25° | Yaw angle : 0.75° | Pitch_current : 11.55 A | Yaw_current : 3.03 A
Voltage : 12.25 V | Pitch angle : 41.00° | Yaw angle : 1.00° | Pitch_current : 10.88 A | Yaw_current : 2.92 A
