Voltage (V) | Pitch angle  | Yaw angle | Pitch_current  | Yaw_current | Yaw_ESC_Signal | Pitch_ESC_Signal
15.92  | 0.00° | 0.25° | 0.00 | 0.00 | 1180 µs | 1200 µs
15.90  | 0.00° | 0.25° | 0.00 | 1.00 | 1170 µs | 1200 µs
13.97  | 0.00° | 0.25° | 2.85 | 3.17 | 1180 µs | 1200 µs
11.59  | 0.00° | 0.25° | 7.89 | 5.74 | 1183 µs | 1200 µs
7.44  | 0.00° | 0.00° | 10.13 | 7.45 | 1193 µs | 1200 µs
8.51  | 0.00° | 0.00° | 8.36 | 7.23 | 1202 µs | 1200 µs
9.44  | 0.50° | 0.00° | 7.57 | 6.39 | 1193 µs | 1200 µs
10.28  | 2.00° | 0.25° | 8.05 | 5.64 | 1190 µs | 1200 µs
10.00  | 4.75° | 0.25° | 7.79 | 4.73 | 1180 µs | 1200 µs
10.05  | 9.00° | 0.25° | 7.83 | 4.02 | 1170 µs | 1200 µs
10.71  | 14.75° | 0.25° | 7.14 | 7.50 | 1180 µs | 1030 µs
12.76  | 21.75° | 0.00° | 0.76 | 7.18 | 1183 µs | 1030 µs
13.09  | 28.50° | 0.25° | 0.87 | 6.87 | 1183 µs | 1030 µs
12.40  | 34.00° | 0.25° | 0.87 | 7.23 | 1183 µs | 1030 µs
11.97  | 37.50° | 0.25° | 0.85 | 7.48 | 1183 µs | 1030 µs
12.43  | 39.00° | 0.00° | 0.91 | 6.29 | 1183 µs | 1030 µs
13.11  | 38.50° | 0.25° | 2.05 | 3.49 | 1183 µs | 1200 µs
9.85  | 37.25° | 0.25° | 9.93 | 4.07 | 1183 µs | 1200 µs
10.08  | 36.25° | 0.00° | 9.09 | 4.97 | 1193 µs | 1200 µs
9.54  | 36.25° | 0.25° | 8.15 | 5.72 | 1202 µs | 1200 µs
10.00  | 37.00° | 0.25° | 7.33 | 5.24 | 1193 µs | 1200 µs
10.63  | 38.75° | 0.00° | 7.70 | 4.51 | 1183 µs | 1200 µs
9.67  | 41.25° | 0.25° | 6.55 | 7.13 | 1183 µs | 1030 µs
12.68  | 44.50° | 0.25° | 0.69 | 6.64 | 1183 µs | 1030 µs
12.78  | 47.25° | 0.00° | 0.78 | 6.75 | 1193 µs | 1030 µs
12.76  | 48.75° | 0.25° | 0.62 | 7.51 | 1202 µs | 1030 µs
12.10  | 48.50° | 0.00° | 0.71 | 5.24 | 1193 µs | 1133 µs
11.27  | 47.50° | 0.00° | 4.88 | 5.59 | 1190 µs | 1133 µs
11.67  | 46.50° | 1.25° | 5.54 | 3.83 | 1180 µs | 1200 µs
11.11  | 46.00° | 2.25° | 9.18 | 3.74 | 1170 µs | 1200 µs
10.43  | 46.50° | 2.00° | 8.93 | 3.62 | 1161 µs | 1200 µs
10.43  | 47.75° | 2.00° | 8.33 | 3.30 | 1151 µs | 1200 µs
9.95  | 50.00° | 2.25° | 8.15 | 4.56 | 1142 µs | 1030 µs
13.64  | 52.75° | 2.00° | 0.94 | 3.79 | 1132 µs | 1030 µs
13.87  | 55.25° | 2.25° | 0.96 | 3.72 | 1132 µs | 1030 µs
13.77  | 56.00° | 2.00° | 1.03 | 3.66 | 1132 µs | 1030 µs
13.82  | 55.75° | 2.00° | 1.01 | 3.63 | 1142 µs | 1111 µs
11.97  | 55.00° | 2.00° | 4.28 | 4.10 | 1151 µs | 1111 µs
12.56  | 54.75° | 2.00° | 3.86 | 2.50 | 1142 µs | 1200 µs
10.53  | 54.75° | 2.00° | 9.56 | 2.67 | 1138 µs | 1200 µs
11.16  | 55.00° | 2.25° | 7.96 | 3.33 | 1129 µs | 1147 µs
12.76  | 55.75° | 2.25° | 5.43 | 2.68 | 1119 µs | 1147 µs
12.30  | 56.50° | 2.25° | 5.41 | 3.74 | 1129 µs | 1030 µs
13.75  | 57.25° | 2.25° | 0.93 | 4.04 | 1132 µs | 1030 µs
13.85  | 57.25° | 2.25° | 0.99 | 3.71 | 1132 µs | 1065 µs
13.57  | 57.00° | 2.00° | 1.98 | 3.59 | 1132 µs | 1065 µs
13.67  | 57.00° | 2.00° | 2.01 | 2.95 | 1142 µs | 1171 µs
