Voltage : 15.80 V | Pitch angle : 0.00° | Yaw angle : 0.00° | Pitch_current : 0.00 A | Yaw_current : 0.00 A
Voltage : 15.80 V | Pitch angle : 0.00° | Yaw angle : 0.00° | Pitch_current : 0.00 A | Yaw_current : 1.29 A
Voltage : 14.58 V | Pitch angle : 0.00° | Yaw angle : 0.00° | Pitch_current : 2.47 A | Yaw_current : 3.50 A
Voltage : 12.25 V | Pitch angle : 0.00° | Yaw angle : 0.00° | Pitch_current : 5.96 A | Yaw_current : 5.88 A
Voltage : 10.68 V | Pitch angle : 0.00° | Yaw angle : -0.25° | Pitch_current : 9.69 A | Yaw_current : 3.19 A
Voltage : 9.92 V | Pitch angle : 0.00° | Yaw angle : -0.75° | Pitch_current : 12.84 A | Yaw_current : 4.23 A
Voltage : 10.53 V | Pitch angle : 0.75° | Yaw angle : -1.75° | Pitch_current : 11.43 A | Yaw_current : 4.27 A
Voltage : 10.33 V | Pitch angle : 2.75° | Yaw angle : -2.25° | Pitch_current : 10.93 A | Yaw_current : 4.11 A
Voltage : 11.11 V | Pitch angle : 6.75° | Yaw angle : -4.00° | Pitch_current : 10.15 A | Yaw_current : 4.36 A
Voltage : 10.99 V | Pitch angle : 12.75° | Yaw angle : -5.00° | Pitch_current : 10.03 A | Yaw_current : 4.64 A
Voltage : 11.70 V | Pitch angle : 20.50° | Yaw angle : -6.75° | Pitch_current : 9.53 A | Yaw_current : 7.18 A
Voltage : 13.85 V | Pitch angle : 30.00° | Yaw angle : -8.75° | Pitch_current : 0.63 A | Yaw_current : 7.66 A
Voltage : 13.97 V | Pitch angle : 39.25° | Yaw angle : -9.75° | Pitch_current : 0.82 A | Yaw_current : 7.53 A
Voltage : 14.91 V | Pitch angle : 47.50° | Yaw angle : -10.00° | Pitch_current : 0.77 A | Yaw_current : 7.93 A
Voltage : 14.58 V | Pitch angle : 53.50° | Yaw angle : -9.50° | Pitch_current : 0.63 A | Yaw_current : 7.98 A
Voltage : 14.13 V | Pitch angle : 56.75° | Yaw angle : -8.50° | Pitch_current : 0.82 A | Yaw_current : 8.45 A
Voltage : 14.58 V | Pitch angle : 57.00° | Yaw angle : -6.50° | Pitch_current : 0.64 A | Yaw_current : 7.98 A
Voltage : 14.08 V | Pitch angle : 56.50° | Yaw angle : -4.75° | Pitch_current : 0.72 A | Yaw_current : 7.61 A
Voltage : 13.87 V | Pitch angle : 54.25° | Yaw angle : -2.50° | Pitch_current : 1.20 A | Yaw_current : 3.44 A
Voltage : 11.06 V | Pitch angle : 51.50° | Yaw angle : 0.00° | Pitch_current : 11.89 A | Yaw_current : 3.61 A
Voltage : 10.35 V | Pitch angle : 49.25° | Yaw angle : 2.25° | Pitch_current : 11.00 A | Yaw_current : 3.76 A
Voltage : 10.33 V | Pitch angle : 48.25° | Yaw angle : 3.75° | Pitch_current : 10.32 A | Yaw_current : 3.73 A
Voltage : 11.16 V | Pitch angle : 48.75° | Yaw angle : 4.75° | Pitch_current : 9.86 A | Yaw_current : 3.71 A
Voltage : 11.11 V | Pitch angle : 50.75° | Yaw angle : 5.25° | Pitch_current : 10.51 A | Yaw_current : 3.54 A
Voltage : 12.20 V | Pitch angle : 54.00° | Yaw angle : 5.00° | Pitch_current : 9.87 A | Yaw_current : 5.27 A
Voltage : 14.13 V | Pitch angle : 58.25° | Yaw angle : 4.50° | Pitch_current : 0.74 A | Yaw_current : 5.52 A
Voltage : 15.47 V | Pitch angle : 62.25° | Yaw angle : 4.25° | Pitch_current : 0.65 A | Yaw_current : 5.65 A
Voltage : 14.83 V | Pitch angle : 65.00° | Yaw angle : 4.25° | Pitch_current : 0.67 A | Yaw_current : 5.76 A
Voltage : 14.48 V | Pitch angle : 65.50° | Yaw angle : 4.50° | Pitch_current : 0.71 A | Yaw_current : 5.32 A
Voltage : 14.53 V | Pitch angle : 65.00° | Yaw angle : 5.25° | Pitch_current : 0.82 A | Yaw_current : 4.89 A
Voltage : 14.66 V | Pitch angle : 64.00° | Yaw angle : 5.75° | Pitch_current : 2.14 A | Yaw_current : 2.43 A
Voltage : 11.75 V | Pitch angle : 62.50° | Yaw angle : 6.50° | Pitch_current : 12.64 A | Yaw_current : 2.23 A
Voltage : 11.75 V | Pitch angle : 62.00° | Yaw angle : 6.50° | Pitch_current : 11.13 A | Yaw_current : 2.55 A
Voltage : 11.29 V | Pitch angle : 62.25° | Yaw angle : 6.75° | Pitch_current : 10.80 A | Yaw_current : 2.29 A
Voltage : 11.11 V | Pitch angle : 63.50° | Yaw angle : 5.25° | Pitch_current : 10.63 A | Yaw_current : 4.40 A
Voltage : 13.92 V | Pitch angle : 65.75° | Yaw angle : 4.50° | Pitch_current : 0.72 A | Yaw_current : 4.56 A
Voltage : 14.53 V | Pitch angle : 67.25° | Yaw angle : 4.25° | Pitch_current : 0.66 A | Yaw_current : 4.65 A
Voltage : 13.44 V | Pitch angle : 67.75° | Yaw angle : 4.25° | Pitch_current : 0.80 A | Yaw_current : 5.17 A
Voltage : 13.42 V | Pitch angle : 67.25° | Yaw angle : 4.25° | Pitch_current : 0.80 A | Yaw_current : 4.64 A
Voltage : 14.35 V | Pitch angle : 66.50° | Yaw angle : 3.75° | Pitch_current : 0.75 A | Yaw_current : 4.17 A
