Voltage : 15.01 V | Pitch angle : 0.00° | Yaw angle : 0.00° | Pitch_current : 0.00 A | Yaw_current : 0.00 A
Voltage : 14.83 V | Pitch angle : 0.00° | Yaw angle : 0.00° | Pitch_current : 0.00 A | Yaw_current : 0.80 A
Voltage : 14.23 V | Pitch angle : 0.00° | Yaw angle : 0.00° | Pitch_current : 2.33 A | Yaw_current : 2.98 A
Voltage : 12.68 V | Pitch angle : 0.00° | Yaw angle : 0.00° | Pitch_current : 5.24 A | Yaw_current : 6.12 A
Voltage : 10.86 V | Pitch angle : 0.00° | Yaw angle : 0.00° | Pitch_current : 8.52 A | Yaw_current : 3.70 A
Voltage : 9.72 V | Pitch angle : 0.25° | Yaw angle : -0.25° | Pitch_current : 13.55 A | Yaw_current : 2.81 A
Voltage : 11.27 V | Pitch angle : 0.75° | Yaw angle : -1.00° | Pitch_current : 11.54 A | Yaw_current : 3.44 A
Voltage : 11.06 V | Pitch angle : 3.00° | Yaw angle : -2.50° | Pitch_current : 11.57 A | Yaw_current : 3.71 A
Voltage : 10.99 V | Pitch angle : 7.00° | Yaw angle : -4.50° | Pitch_current : 10.43 A | Yaw_current : 4.28 A
Voltage : 12.25 V | Pitch angle : 13.00° | Yaw angle : -6.50° | Pitch_current : 8.99 A | Yaw_current : 4.35 A
Voltage : 12.94 V | Pitch angle : 21.00° | Yaw angle : -8.75° | Pitch_current : 8.71 A | Yaw_current : 6.46 A
Voltage : 14.38 V | Pitch angle : 30.50° | Yaw angle : -10.75° | Pitch_current : 0.68 A | Yaw_current : 6.85 A
Voltage : 14.25 V | Pitch angle : 39.75° | Yaw angle : -12.00° | Pitch_current : 0.83 A | Yaw_current : 7.01 A
Voltage : 14.83 V | Pitch angle : 48.00° | Yaw angle : -13.00° | Pitch_current : 0.75 A | Yaw_current : 7.21 A
Voltage : 14.58 V | Pitch angle : 54.00° | Yaw angle : -13.50° | Pitch_current : 0.68 A | Yaw_current : 7.63 A
Voltage : 13.47 V | Pitch angle : 57.50° | Yaw angle : -13.50° | Pitch_current : 0.76 A | Yaw_current : 7.89 A
