Voltage : 15.87 V | Pitch angle : 0.00° | Yaw angle : 0.00° | Pitch_current : 0.00 A | Yaw_current : 0.00 A
Voltage : 15.87 V | Pitch angle : 0.00° | Yaw angle : 0.00° | Pitch_current : 0.00 A | Yaw_current : 0.00 A
Voltage : 15.87 V | Pitch angle : 0.00° | Yaw angle : 0.00° | Pitch_current : 0.00 A | Yaw_current : 0.00 A
Voltage : 15.85 V | Pitch angle : 0.00° | Yaw angle : 0.00° | Pitch_current : 0.00 A | Yaw_current : 0.00 A
Voltage : 15.29 V | Pitch angle : 0.00° | Yaw angle : 0.00° | Pitch_current : 1.84 A | Yaw_current : 1.57 A
Voltage : 14.18 V | Pitch angle : 0.00° | Yaw angle : 0.00° | Pitch_current : 1.62 A | Yaw_current : 1.61 A
Voltage : 14.78 V | Pitch angle : 0.00° | Yaw angle : 0.00° | Pitch_current : 1.78 A | Yaw_current : 1.80 A
Voltage : 11.11 V | Pitch angle : 0.00° | Yaw angle : 0.00° | Pitch_current : 1.77 A | Yaw_current : 1.81 A
Voltage : 14.33 V | Pitch angle : 0.00° | Yaw angle : 0.00° | Pitch_current : 0.00 A | Yaw_current : 1.65 A
Voltage : 14.25 V | Pitch angle : 0.00° | Yaw angle : 0.00° | Pitch_current : 1.93 A | Yaw_current : 0.00 A
Voltage : 12.61 V | Pitch angle : 0.00° | Yaw angle : 0.00° | Pitch_current : 3.79 A | Yaw_current : 2.46 A
Voltage : 9.64 V | Pitch angle : 0.00° | Yaw angle : -0.25° | Pitch_current : 9.64 A | Yaw_current : 3.76 A
Voltage : 8.38 V | Pitch angle : 0.00° | Yaw angle : -1.00° | Pitch_current : 12.44 A | Yaw_current : 4.27 A
Voltage : 8.66 V | Pitch angle : 0.25° | Yaw angle : -2.25° | Pitch_current : 13.80 A | Yaw_current : 4.09 A
Voltage : 9.77 V | Pitch angle : 1.50° | Yaw angle : -3.75° | Pitch_current : 11.47 A | Yaw_current : 4.03 A
Voltage : 8.56 V | Pitch angle : 4.50° | Yaw angle : -5.75° | Pitch_current : 10.42 A | Yaw_current : 4.53 A
