Voltage : 15.87 V | Pitch angle : 0.00° | Yaw angle : 0.00° | Pitch_current : 0.00 A | Yaw_current : 0.00 A
Voltage : 15.87 V | Pitch angle : 0.00° | Yaw angle : 0.00° | Pitch_current : 0.00 A | Yaw_current : 0.74 A
Voltage : 13.92 V | Pitch angle : 0.00° | Yaw angle : 0.00° | Pitch_current : 2.48 A | Yaw_current : 2.85 A
Voltage : 12.23 V | Pitch angle : 0.00° | Yaw angle : -0.25° | Pitch_current : 6.24 A | Yaw_current : 5.46 A
Voltage : 9.49 V | Pitch angle : 0.00° | Yaw angle : -0.50° | Pitch_current : 8.48 A | Yaw_current : 6.57 A
Voltage : 8.23 V | Pitch angle : 0.00° | Yaw angle : -1.00° | Pitch_current : 9.93 A | Yaw_current : 7.83 A
Voltage : 8.91 V | Pitch angle : 0.25° | Yaw angle : -1.50° | Pitch_current : 7.30 A | Yaw_current : 7.93 A
Voltage : 9.80 V | Pitch angle : 1.25° | Yaw angle : -2.00° | Pitch_current : 7.17 A | Yaw_current : 7.37 A
Voltage : 9.21 V | Pitch angle : 3.25° | Yaw angle : -2.75° | Pitch_current : 7.29 A | Yaw_current : 7.72 A
Voltage : 9.85 V | Pitch angle : 6.25° | Yaw angle : -3.50° | Pitch_current : 6.98 A | Yaw_current : 8.01 A
Voltage : 9.32 V | Pitch angle : 10.25° | Yaw angle : -4.25° | Pitch_current : 6.59 A | Yaw_current : 9.78 A
Voltage : 11.11 V | Pitch angle : 15.00° | Yaw angle : -5.00° | Pitch_current : 1.33 A | Yaw_current : 10.71 A
Voltage : 10.66 V | Pitch angle : 20.00° | Yaw angle : -5.25° | Pitch_current : 1.27 A | Yaw_current : 11.22 A
Voltage : 10.43 V | Pitch angle : 24.00° | Yaw angle : -5.25° | Pitch_current : 0.58 A | Yaw_current : 11.55 A
Voltage : 10.48 V | Pitch angle : 26.75° | Yaw angle : -4.75° | Pitch_current : 0.77 A | Yaw_current : 11.65 A
Voltage : 10.46 V | Pitch angle : 27.75° | Yaw angle : -3.75° | Pitch_current : 0.89 A | Yaw_current : 10.77 A
Voltage : 10.23 V | Pitch angle : 27.50° | Yaw angle : -2.25° | Pitch_current : 1.62 A | Yaw_current : 6.24 A
Voltage : 8.78 V | Pitch angle : 26.25° | Yaw angle : -0.25° | Pitch_current : 9.75 A | Yaw_current : 6.91 A
Voltage : 9.21 V | Pitch angle : 25.25° | Yaw angle : 1.50° | Pitch_current : 8.06 A | Yaw_current : 6.98 A
Voltage : 9.24 V | Pitch angle : 25.25° | Yaw angle : 3.00° | Pitch_current : 7.39 A | Yaw_current : 6.38 A
Voltage : 9.57 V | Pitch angle : 26.00° | Yaw angle : 4.25° | Pitch_current : 7.32 A | Yaw_current : 6.62 A
Voltage : 9.80 V | Pitch angle : 27.75° | Yaw angle : 5.25° | Pitch_current : 7.24 A | Yaw_current : 6.06 A
Voltage : 9.97 V | Pitch angle : 30.25° | Yaw angle : 6.25° | Pitch_current : 7.52 A | Yaw_current : 7.55 A
Voltage : 11.82 V | Pitch angle : 33.75° | Yaw angle : 7.00° | Pitch_current : 2.01 A | Yaw_current : 7.51 A
Voltage : 11.77 V | Pitch angle : 37.25° | Yaw angle : 7.50° | Pitch_current : 2.09 A | Yaw_current : 7.00 A
Voltage : 12.00 V | Pitch angle : 40.00° | Yaw angle : 8.25° | Pitch_current : 1.10 A | Yaw_current : 6.51 A
Voltage : 12.91 V | Pitch angle : 41.75° | Yaw angle : 9.25° | Pitch_current : 0.93 A | Yaw_current : 5.91 A
Voltage : 13.29 V | Pitch angle : 42.00° | Yaw angle : 10.50° | Pitch_current : 0.99 A | Yaw_current : 5.09 A
Voltage : 12.78 V | Pitch angle : 41.50° | Yaw angle : 12.00° | Pitch_current : 2.25 A | Yaw_current : 2.66 A
Voltage : 10.00 V | Pitch angle : 40.50° | Yaw angle : 13.75° | Pitch_current : 10.02 A | Yaw_current : 2.57 A
Voltage : 9.95 V | Pitch angle : 40.50° | Yaw angle : 14.50° | Pitch_current : 9.52 A | Yaw_current : 2.69 A
Voltage : 9.95 V | Pitch angle : 41.00° | Yaw angle : 14.75° | Pitch_current : 8.69 A | Yaw_current : 2.50 A
